wordcount,darga,etnakhta,gadol,geresh,gereshmukdam,gershayim,kadma,karnepara,katan,mapakh,merkha,merkhakfula,munakh,pashta,pazer,revii,segol,shalshelet,sofpasuk,telishagedola,telishaketana,tevir,tipkha,tsinnorit,yerakhbenyomo,yetiv,zarka
3,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0.0,0.23880597014925373,0.1791044776119403,0.0,0.0,0.0,0.04477611940298507,0.0,0.16417910447761194,0.0,0.6119402985074627,0.0,0.08955223880597014,0.04477611940298507,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.0,1.2238805970149254,0.0,0.0,0.0,0.0
5,0.020942408376963352,0.2931937172774869,0.020942408376963352,0.005235602094240838,0.0,0.0,0.015706806282722512,0.0,0.1518324607329843,0.010471204188481676,1.2984293193717278,0.0,0.18324607329842932,0.031413612565445025,0.0,0.005235602094240838,0.0,0.0,0.9842931937172775,0.0,0.005235602094240838,0.09947643979057591,1.2670157068062826,0.0,0.0,0.0,0.0
6,0.07329842931937172,0.7172774869109948,0.12041884816753927,0.0,0.0,0.005235602094240838,0.031413612565445025,0.0,0.17277486910994763,0.041884816753926704,1.1413612565445026,0.0,0.29842931937172773,0.08900523560209424,0.0,0.015706806282722512,0.010471204188481676,0.0,0.9738219895287958,0.0,0.005235602094240838,0.2198952879581152,1.6858638743455496,0.0,0.0,0.0,0.010471204188481676
7,0.15966386554621848,0.7857142857142857,0.046218487394957986,0.008403361344537815,0.0,0.0,0.05042016806722689,0.0,0.2689075630252101,0.046218487394957986,1.184873949579832,0.0,0.46638655462184875,0.08403361344537816,0.025210084033613446,0.05042016806722689,0.0,0.0,0.9915966386554622,0.025210084033613446,0.008403361344537815,0.2815126050420168,1.773109243697479,0.0,0.0,0.004201680672268907,0.0
8,0.10738255033557047,0.9429530201342282,0.10067114093959731,0.010067114093959731,0.0,0.0,0.08389261744966443,0.0,0.43288590604026844,0.040268456375838924,1.2919463087248322,0.0,0.6610738255033557,0.20134228187919462,0.0,0.016778523489932886,0.0,0.0,0.9966442953020134,0.0,0.006711409395973154,0.2751677852348993,1.936241610738255,0.0,0.0,0.02348993288590604,0.0
9,0.12320916905444126,0.9799426934097422,0.1346704871060172,0.011461318051575931,0.0,0.014326647564469915,0.06876790830945559,0.0,0.6790830945558739,0.1318051575931232,1.4040114613180517,0.0,0.8481375358166189,0.36962750716332377,0.0,0.03724928366762178,0.0,0.0,0.997134670487106,0.011461318051575931,0.0028653295128939827,0.3467048710601719,1.9656160458452723,0.0,0.0,0.03151862464183381,0.0
10,0.14987714987714987,0.972972972972973,0.08353808353808354,0.022113022113022112,0.0,0.0171990171990172,0.09582309582309582,0.0,0.7764127764127764,0.21867321867321868,1.5012285012285012,0.0,0.8943488943488943,0.457002457002457,0.004914004914004914,0.10810810810810811,0.0,0.0,0.995085995085995,0.004914004914004914,0.002457002457002457,0.39803439803439805,1.9557739557739557,0.0,0.0,0.03931203931203931,0.0
11,0.2085201793721973,0.9618834080717489,0.08968609865470852,0.04708520179372197,0.0,0.04484304932735426,0.13004484304932734,0.0,0.9103139013452914,0.2937219730941704,1.5358744394618835,0.002242152466367713,1.0964125560538116,0.6278026905829597,0.002242152466367713,0.17713004484304934,0.0,0.0,0.9955156950672646,0.013452914798206279,0.008968609865470852,0.515695067264574,1.9394618834080717,0.0,0.0,0.04035874439461883,0.0
12,0.2283653846153846,0.9903846153846154,0.0889423076923077,0.05048076923076923,0.0,0.04807692307692308,0.19230769230769232,0.0,1.1057692307692308,0.42788461538461536,1.5336538461538463,0.002403846153846154,1.2475961538461537,0.8100961538461539,0.0,0.23798076923076922,0.016826923076923076,0.0,1.0,0.019230769230769232,0.007211538461538462,0.49278846153846156,1.9807692307692308,0.0,0.0,0.04807692307692308,0.016826923076923076
13,0.18475750577367206,1.0,0.09468822170900693,0.06928406466512702,0.0,0.07159353348729793,0.20785219399538107,0.0,1.2771362586605082,0.46882217090069284,1.6189376443418013,0.0,1.443418013856813,0.9330254041570438,0.004618937644341801,0.3071593533487298,0.011547344110854504,0.0,1.0,0.016166281755196306,0.03233256351039261,0.5173210161662818,1.9907621247113163,0.0,0.0,0.06466512702078522,0.011547344110854504
14,0.21904761904761905,0.9952380952380953,0.08095238095238096,0.12857142857142856,0.0,0.08333333333333333,0.319047619047619,0.0,1.3428571428571427,0.5428571428571428,1.6285714285714286,0.0,1.6714285714285715,1.0166666666666666,0.016666666666666666,0.38571428571428573,0.007142857142857143,0.002380952380952381,0.9976190476190476,0.023809523809523808,0.05952380952380952,0.5428571428571428,1.9857142857142858,0.0,0.0,0.06666666666666667,0.007142857142857143
15,0.2072072072072072,1.0,0.1021021021021021,0.1831831831831832,0.0,0.08408408408408409,0.3783783783783784,0.0,1.5375375375375375,0.6936936936936937,1.5885885885885886,0.0,1.8078078078078077,1.2012012012012012,0.006006006006006006,0.4894894894894895,0.03003003003003003,0.0,0.996996996996997,0.042042042042042045,0.03903903903903904,0.45645645645645644,1.990990990990991,0.0,0.0,0.09009009009009009,0.03003003003003003
16,0.16358024691358025,1.0,0.10185185185185185,0.2839506172839506,0.0,0.09567901234567901,0.41975308641975306,0.0,1.5987654320987654,0.7654320987654321,1.6851851851851851,0.0030864197530864196,2.0246913580246915,1.3148148148148149,0.037037037037037035,0.5277777777777778,0.046296296296296294,0.0030864197530864196,0.9969135802469136,0.043209876543209874,0.09259259259259259,0.49691358024691357,2.0,0.0,0.0,0.09259259259259259,0.046296296296296294
17,0.26426426426426425,1.0,0.057057057057057055,0.24324324324324326,0.003003003003003003,0.14414414414414414,0.46846846846846846,0.0,1.6936936936936937,0.8378378378378378,1.6276276276276276,0.0,2.2462462462462462,1.3873873873873874,0.024024024024024024,0.5765765765765766,0.0960960960960961,0.0,1.0,0.05405405405405406,0.09009009009009009,0.5885885885885885,1.984984984984985,0.0,0.0,0.06606606606606606,0.0960960960960961
