,darga,etnakhta,gadol,geresh,gereshmukdam,gershayim,kadma,karnepara,katan,mapakh,merkha,merkhakfula,munakh,pashta,pazer,revii,segol,shalshelet,sofpasuk,telishagedola,telishaketana,tevir,tipkha,tsinnorit,yerakhbenyomo,yetiv,zarka
darga,1.0,-0.005543750641963373,-0.058273460034196964,0.08312860047677934,-0.005798280373103927,0.12261933849737854,0.16251310030662036,-0.0057982803731037565,-0.20587886115450613,-0.0957783468796121,-0.04495012954694912,0.05661054436057567,-0.04521969953717272,-0.16286205129585235,0.043975637536164854,0.03924897614821226,-0.010566990340125095,-0.011599534350447112,0.018196267870883544,0.1052232567885983,0.07488979158556783,0.5578026928753058,-0.007220239596392201,0.021027525638749944,-0.0057982803731037565,-0.039583964452363465,-0.013394309228146883
etnakhta,-0.005543750641963373,1.0,0.04230969736368813,0.08691734018892872,0.003313059920888793,0.03263882710897856,0.1043427997751961,0.0033130599208890167,0.27966425818121987,0.1818234599843379,0.07281567644157617,0.0074107603569784075,0.263136375374672,0.2560956060092975,0.003541468894524742,0.1337401387046178,0.06602722093675666,0.006627818919502558,0.05487120586287039,0.03132509566338895,0.04167233744868238,0.039412356542490486,0.9077534486952753,0.010484881013594466,0.0033130599208890167,0.06161634968396108,0.06479580158144821
gadol,-0.058273460034196964,0.04230969736368813,1.0,-0.017482879543980236,-0.003822857588124839,-0.028284387032072176,-0.020120535538392718,-0.0038228575881249713,-0.04282854138116712,-0.03924165392080355,-0.03720317043830157,-0.00855109238617302,-0.04311278493331767,-0.03028250709057935,0.01542824851791913,-0.029000951725915054,0.021806977409863027,0.013626965873932487,0.019908425776868,-0.005601870834102712,0.001699665424375036,-0.07893337246917101,0.041797442320470585,0.014826098880540803,-0.0038228575881249713,-0.015540729741600522,0.018685919978883875
geresh,0.08312860047677934,0.08691734018892872,-0.017482879543980236,1.0,-0.005827842750859138,-0.0033052825780213292,0.6817802709887208,0.024682321489553613,0.1354280597504591,0.1859201186487962,0.02527159868646813,0.027911769049151828,0.2538852742799093,0.19262133625336858,0.24576864141270466,0.39014418094187925,0.11269020763294929,0.003600319580154312,-0.010843543033540322,0.16373231321992313,0.4534081343160941,0.1069448031005366,0.08709041676239164,0.029834499053593363,0.024682321489553613,0.04144032523341761,0.11162565755305932
gereshmukdam,-0.005798280373103927,0.003313059920888793,-0.003822857588124839,-0.005827842750859138,1.0,-0.003906658777400079,-0.0078090533820642,-0.0001708817498291176,0.011578557682760981,0.029327265104219378,0.006332271958572939,-0.0003822338646457649,-0.0059717754331862355,0.01653235264822595,-0.0020918138607557584,-0.00913294000842252,-0.003405566853435985,-0.0003418511350712888,0.0008899067136746444,-0.0027836748853135047,-0.003721634340841018,-0.009918878642592218,0.0036672630292967495,-0.0005407915513559004,-0.0001708817498291176,-0.0031780619437914706,-0.0033420524289363824
gershayim,0.12261933849737854,0.03263882710897856,-0.028284387032072176,-0.0033052825780213292,-0.003906658777400079,1.0,0.018953655760686864,0.04092799577970196,0.0727850693517053,0.15169172873998193,0.029346468374090186,-0.008738541616242376,0.1709180470096985,0.12630141439914366,-0.009852898433121524,0.19811206662786146,0.09748533717054492,-0.007815321055209629,0.0030495097995189868,0.050394091350473263,-0.014727272640531778,0.11057223387768667,0.030261166123682605,0.030203182388095485,0.04092799577970196,0.009322120145438668,0.09416251283755496
kadma,0.16251310030662036,0.1043427997751961,-0.020120535538392718,0.6817802709887208,-0.0078090533820642,0.018953655760686864,1.0,0.03624529789043416,0.1747432097860856,0.25088028206054447,0.05908712502810346,0.002240896615358866,0.2245242446733537,0.21203794307910045,0.2334031946120756,0.3238598023807928,0.1606305239543827,-0.004605699642361213,0.002430249018562516,0.23161414179609321,0.4573463318194771,0.17382892650422246,0.1072646476260325,0.04499626436936315,0.03624529789043416,0.014719308195324783,0.15532494907985103
karnepara,-0.0057982803731037565,0.0033130599208890167,-0.0038228575881249713,0.024682321489553613,-0.0001708817498291176,0.04092799577970196,0.03624529789043416,1.0,-0.002788476049950496,-0.010306187367494828,0.006332271958572951,-0.0003822338646458003,0.04260076710494506,-0.014313633979145228,-0.0020918138607555208,0.03471865791552737,-0.003405566853435627,-0.00034185113507132224,0.0008899067136746426,-0.00278367488531314,0.043838902333711946,0.011767784299166861,0.00366726302929711,-0.00054079155135595,1.0,0.04907249018264712,-0.0033420524289361478
katan,-0.20587886115450613,0.27966425818121987,-0.04282854138116712,0.1354280597504591,0.011578557682760981,0.0727850693517053,0.1747432097860856,-0.002788476049950496,1.0,0.5480238376554438,-0.10584471990110508,0.006617305563328047,0.551853676252897,0.7990481506600184,0.032231893466648245,0.28466006731200416,0.08605103907083118,0.008792335596254688,0.02283494081556737,0.044189340881721204,0.07385762533791279,-0.28428514250424325,0.2680182958479538,0.00026878120813682895,-0.002788476049950496,0.21383711555334015,0.0855719370689714
mapakh,-0.0957783468796121,0.1818234599843379,-0.03924165392080355,0.1859201186487962,0.029327265104219378,0.15169172873998193,0.25088028206054447,-0.010306187367494828,0.5480238376554438,1.0,-0.005805893055406088,0.012408143396743333,0.258644544242688,0.6878480963220802,0.04624024149086952,0.1981216759695613,0.09186701685634549,-0.0007958525202915502,0.003982878474918197,0.08652395947325639,0.10912742243517001,-0.10838433865670974,0.17381593264990175,0.023826694544827037,-0.010306187367494828,-0.04156225610663048,0.08725361802147584
