,darga,etnakhta,gadol,geresh,gereshmukdam,gershayim,kadma,karnepara,katan,mapakh,merkha,merkhakfula,munakh,pashta,pazer,revii,segol,shalshelet,sofpasuk,telishagedola,telishaketana,tevir,tipkha,tsinnorit,yerakhbenyomo,yetiv,zarka
darga,1.0,0.08137115519730032,-0.2362701936789078,0.6370212896646353,0.32769951095277217,0.3275841278910012,0.7100071703111469,0.39346710285259406,0.0005223285959854711,-0.10916799612328228,0.0627737290199139,-0.14845620656276257,0.2874294485434947,0.11279352407100779,0.5499097376792744,0.33519438410266233,0.13277492814401995,-0.17153852045267406,-0.06954453158059214,0.7521639708179612,0.6830754018548689,0.8021333726831403,0.028643137257332762,0.14103950043195218,0.39346710285259406,0.2906830996042525,0.1140042767836483
etnakhta,0.08137115519730032,1.0,0.33743187619465914,0.16593755841093513,0.14440705650285032,-0.220765544206466,-0.027453081990440383,-0.05186241962382112,0.5737359457807651,0.46569792289436807,0.46094571085028707,-0.08497339009615441,0.20242774607907804,0.5101468922836272,-0.09586749586625222,0.0769407105432475,-0.4806424540201279,0.26887856847655023,0.29596530877259014,-0.08628204802061824,0.08565954479883214,0.12297577490612815,0.986485581553246,0.45183477011981454,-0.05186241962382112,0.024847537677327468,-0.49585617326375603
gadol,-0.2362701936789078,0.33743187619465914,1.0,-0.44130141630154596,-0.012325447376372516,-0.5061705992415424,-0.5677159423143128,0.059721224054352734,-0.11526013545614112,-0.2743863054572427,-0.34028540041083855,-0.013750273775639858,-0.5143852425547959,-0.210675979038855,-0.4987227197128342,-0.3719139907788185,-0.3832440883800474,0.2971529724503083,0.5485384485122282,-0.42540112678063985,-0.49226622597094466,-0.4007338474544001,0.3639690094656668,0.003092750388470179,0.059721224054352734,-0.3169578711643739,-0.38251523975562435
geresh,0.6370212896646353,0.16593755841093513,-0.44130141630154596,1.0,0.1108745392183475,0.5685946317447599,0.8779356713496884,0.1526289021762625,0.44483107788858206,0.35734409982135296,0.4585299742197827,0.04032988065697124,0.5982170876157117,0.5917164885609777,0.6903244880881121,0.7389279224261064,0.23418661369256524,-0.19402545056763926,-0.146823260243433,0.7471899574878411,0.8378018271688935,0.7294651456144954,0.09911122077118492,0.21592540183447476,0.1526289021762625,0.3694463585044651,0.2077581104164203
gereshmukdam,0.32769951095277217,0.14440705650285032,-0.012325447376372516,0.1108745392183475,1.0,-0.1145381569135634,0.13343676817497435,-0.10300782859497715,-0.16478803440657172,-0.13550650679402523,-0.2433847059175922,0.046999427183352885,-0.1296038953565364,-0.05518656229032636,0.19929778287623245,-0.18394644627218926,0.09684614295301841,0.13031491715321364,0.2083080546475484,0.3872098278311935,0.08920715000850513,0.5004989532766476,0.12667326876723686,0.4368009522776215,-0.10300782859497715,0.17342446607608722,0.05556271928855965
gershayim,0.3275841278910012,-0.220765544206466,-0.5061705992415424,0.5685946317447599,-0.1145381569135634,1.0,0.6876113807338516,0.00815922665175648,0.3194124330844926,0.35193835751933883,0.5109758863643932,-0.07993097350279472,0.7327964981900557,0.46392654643077086,0.7085689109330456,0.7195899483920554,0.5888511201345615,-0.3650853347357202,-0.3392178801871404,0.43935861521212727,0.7356719940169816,0.40965837497189755,-0.2645676602759777,-0.008729878023612457,0.00815922665175648,0.1961944875817069,0.5851099068289259
kadma,0.7100071703111469,-0.027453081990440383,-0.5677159423143128,0.8779356713496884,0.13343676817497435,0.6876113807338516,1.0,0.13832792596122215,0.3358944313160827,0.3436919640864162,0.40706906076416016,-0.06500886935691295,0.669585857237768,0.5062162433841366,0.7675304720719633,0.706621859771981,0.43553416221048524,-0.2934998739179461,-0.3254015941468918,0.7622028787961456,0.9264747418689536,0.7444733370993815,-0.08098085352418082,0.12754546079910742,0.13832792596122215,0.3610035245989934,0.4184555500246608
karnepara,0.39346710285259406,-0.05186241962382112,0.059721224054352734,0.1526289021762625,-0.10300782859497715,0.00815922665175648,0.13832792596122215,1.0,-0.19777649380317455,-0.36112085730638877,-0.2221174855140888,0.22712464775576433,-0.09598528068912983,-0.22555072168185283,0.1220114495670291,0.06902765024244809,-0.07718083041359858,-0.19428188249238668,0.02892056951481829,0.21697363046808285,0.1689652864517199,0.21406514878284635,-0.056841480616402144,-0.3430033770420943,1.0,0.23874144310665185,-0.06057215879073887
katan,0.0005223285959854711,0.5737359457807651,-0.11526013545614112,0.44483107788858206,-0.16478803440657172,0.3194124330844926,0.3358944313160827,-0.19777649380317455,1.0,0.8858903084722326,0.6824092263437492,-0.07689223250601201,0.770270862298752,0.9530276203796185,0.23474133043515066,0.7430862580448295,0.01597755023580964,0.10733654683501051,-0.13427352369420678,-0.024488725221654024,0.3951132180293855,0.10545626729348791,0.5250417337748031,0.28023921251371403,-0.19777649380317455,0.21349092343804418,0.0011610183062334394
mapakh,-0.10916799612328228,0.46569792289436807,-0.2743863054572427,0.35734409982135296,-0.13550650679402523,0.35193835751933883,0.3436919640864162,-0.36112085730638877,0.8858903084722326,1.0,0.7311297346052413,0.0022824820091202815,0.7625298222317967,0.90513188806218,0.2429257126089824,0.5970060552800074,0.22762976915154648,0.06851661903422211,-0.3225641255936067,-0.09451735803530632,0.34893223281279945,0.14227738121520384,0.45392417213576425,0.27602484112945797,-0.36112085730638877,0.13439584546938815,0.22254985038723799
