sefer,perek,pasuk,darga,etnakhta,gadol,geresh,gereshmukdam,gershayim,kadma,karnepara,katan,mapakh,merkha,merkhakfula,munakh,pashta,pazer,revii,segol,shalshelet,sofpasuk,telishagedola,telishaketana,tevir,tipkha,tsinnorit,wordcount,yerakhbenyomo,yetiv,zarka
bereshit,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,7,0,0,0
bereshit,1,2,0,1,0,0,0,0,0,0,2,0,2,0,2,1,0,1,0,0,1,0,0,0,2,0,14,0,0,0
bereshit,1,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0
bereshit,1,4,1,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,2,0,12,0,0,0
bereshit,1,5,0,1,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,0,1,0,0,0,2,0,13,0,0,0
bereshit,1,6,0,1,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,1,0,0,0,2,0,11,0,0,0
bereshit,1,7,0,1,0,0,0,0,0,0,2,1,0,0,4,2,0,1,1,0,1,0,0,0,1,0,17,0,0,1
bereshit,1,8,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,10,0,0,0
bereshit,1,9,0,1,0,1,0,0,1,0,1,1,0,0,2,1,0,1,0,0,1,0,0,0,1,0,13,0,0,0
bereshit,1,10,0,1,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,0,1,0,0,0,2,0,12,0,0,0
bereshit,1,11,0,1,0,0,0,1,0,0,3,2,1,0,3,2,0,1,0,0,1,0,0,0,1,0,20,0,1,0
bereshit,1,12,1,1,0,1,0,0,1,0,1,1,2,0,1,1,0,0,0,0,1,1,0,1,2,0,18,0,0,0
bereshit,1,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0
bereshit,1,14,0,1,1,0,0,0,0,0,2,2,1,0,4,2,0,1,0,0,1,0,0,0,2,0,16,0,0,0
bereshit,1,15,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,9,0,0,0
bereshit,1,16,0,1,0,0,0,0,0,0,3,2,1,0,3,2,0,0,0,0,1,0,0,0,2,0,18,0,0,0
bereshit,1,17,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,0,8,0,0,0
bereshit,1,18,0,1,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,0,1,0,0,0,2,0,12,0,0,0
bereshit,1,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0
bereshit,1,20,0,1,0,0,0,0,0,0,3,0,1,0,4,1,0,0,0,0,1,0,0,0,2,0,15,0,0,0
bereshit,1,21,0,1,0,1,0,0,2,0,2,1,1,0,4,1,1,1,0,0,1,0,1,0,2,0,23,0,0,0
bereshit,1,22,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,2,0,13,0,0,0
bereshit,1,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0
bereshit,1,24,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,14,0,0,0
bereshit,1,25,0,1,0,1,0,0,1,0,1,0,2,0,1,1,0,1,0,0,1,0,1,1,2,0,18,0,0,0
bereshit,1,26,0,1,0,1,0,0,1,0,2,0,2,0,2,1,0,1,0,0,1,0,1,1,2,0,19,0,0,0
bereshit,1,27,0,1,0,0,0,0,1,0,1,1,3,0,1,1,0,0,0,0,1,0,0,0,2,0,13,0,0,0
